city,date,smoke_overhead,smoke_density,within_100km,within_300km,within_500km,nearest_km,nearest_bearing
CHI,2018-01-01,False,,False,False,False,726.9,232.7
CHI,2018-01-02,False,,False,False,False,1009.3,155.2
CHI,2018-01-03,False,,False,False,False,788.4,223.4
CHI,2018-01-04,False,,False,False,False,550.6,195.2
CHI,2018-01-05,False,,False,False,True,359.6,183.0
CHI,2018-01-06,False,,False,False,False,550.9,221.9
CHI,2018-01-07,False,,False,False,False,856.2,165.2
CHI,2018-01-08,False,,False,False,False,676.8,238.6
CHI,2018-01-09,False,,False,False,False,1186.8,168.5
CHI,2018-01-10,False,,False,False,False,895.0,94.5
CHI,2018-01-11,False,,False,False,False,1330.7,281.1
CHI,2018-01-12,False,,False,False,False,1202.6,212.9
CHI,2018-01-13,False,,False,False,False,907.1,215.1
CHI,2018-01-14,False,,False,False,False,1073.8,226.9
CHI,2018-01-15,False,,False,False,False,864.8,112.7
CHI,2018-01-16,False,,False,True,True,209.2,303.3
CHI,2018-01-17,False,,False,False,True,479.4,223.8
CHI,2018-01-18,False,,False,False,False,678.2,207.4
CHI,2018-01-19,False,,False,False,False,672.3,206.5
CHI,2018-01-20,False,,False,False,True,366.6,278.1
CHI,2018-01-21,False,,False,False,False,784.5,167.7
CHI,2018-01-22,False,,False,False,False,1137.6,219.2
CHI,2018-01-23,False,,False,False,False,691.5,219.6
CHI,2018-01-24,False,,False,False,False,700.5,206.0
CHI,2018-01-25,False,,False,False,False,567.2,207.4
CHI,2018-01-26,False,,False,False,False,521.2,180.1
CHI,2018-01-27,False,,False,False,True,419.5,243.4
CHI,2018-01-28,False,,False,False,False,910.4,220.6
CHI,2018-01-29,False,,False,False,False,595.3,232.3
CHI,2018-01-30,False,,False,False,True,451.5,219.8
CHI,2018-01-31,False,,False,False,False,694.8,216.1
CHI,2018-02-01,False,,False,False,False,570.7,211.2
CHI,2018-02-02,False,,False,True,True,193.3,242.1
CHI,2018-02-03,False,,False,False,True,425.9,243.9
CHI,2018-02-04,False,,False,False,True,387.6,254.4
CHI,2018-02-05,False,,False,False,False,762.5,213.8
CHI,2018-02-06,False,,False,False,False,972.5,175.7
CHI,2018-02-07,False,,False,False,False,570.3,229.2
CHI,2018-02-08,False,,False,False,True,450.9,210.4
CHI,2018-02-09,False,,False,False,False,581.1,210.5
CHI,2018-02-10,False,,False,False,False,1061.5,293.7
CHI,2018-02-11,False,,False,False,False,691.1,246.0
CHI,2018-02-12,False,,False,False,False,581.5,246.3
CHI,2018-02-13,False,,False,False,False,546.5,249.1
CHI,2018-02-14,False,,False,False,False,863.4,248.0
CHI,2018-02-15,False,,False,False,False,662.5,215.1
CHI,2018-02-16,False,,False,False,True,446.6,239.3
CHI,2018-02-17,False,,False,False,False,1145.8,156.1
CHI,2018-02-18,False,,False,False,False,1017.7,240.0
CHI,2018-02-19,False,,False,False,False,927.9,179.8
CHI,2018-02-20,False,,False,False,False,1110.6,241.1
CHI,2018-02-21,False,,False,False,False,1190.3,169.3
CHI,2018-02-22,False,,False,False,False,954.9,157.6
CHI,2018-02-23,False,,False,False,False,930.6,147.4
CHI,2018-02-24,False,,False,False,False,888.5,168.3
CHI,2018-02-25,False,,False,False,False,966.9,253.5
CHI,2018-02-26,False,,False,True,True,294.6,63.8
CHI,2018-02-27,False,,False,True,True,266.0,201.7
CHI,2018-02-28,False,,False,False,False,1116.3,100.4
CHI,2018-03-01,False,,False,False,False,510.7,255.0
CHI,2018-03-02,False,,True,True,True,61.3,250.6
CHI,2018-03-03,False,,True,True,True,83.9,180.8
CHI,2018-03-04,False,,False,True,True,134.2,271.2
CHI,2018-03-05,False,,False,False,False,669.9,226.5
CHI,2018-03-06,False,,False,False,False,533.6,156.6
CHI,2018-03-07,False,,False,False,False,689.4,224.2
CHI,2018-03-08,False,,False,False,True,380.6,208.3
CHI,2018-03-09,False,,False,True,True,165.9,154.1
CHI,2018-03-10,False,,False,False,True,313.8,154.4
CHI,2018-03-11,False,,False,True,True,135.1,264.3
CHI,2018-03-12,False,,False,True,True,251.1,233.6
CHI,2018-03-13,False,,False,True,True,283.8,224.8
CHI,2018-03-14,False,,True,True,True,57.0,342.1
CHI,2018-03-15,False,,True,True,True,27.4,196.0
CHI,2018-03-16,False,,False,False,True,367.5,153.2
CHI,2018-03-17,False,,False,True,True,193.0,305.3
CHI,2018-03-18,False,,True,True,True,72.6,175.2
CHI,2018-03-19,False,,False,True,True,109.3,287.2
CHI,2018-03-20,False,,False,False,False,913.4,226.9
CHI,2018-03-21,False,,True,True,True,27.2,207.0
CHI,2018-03-22,False,,True,True,True,14.9,263.1
CHI,2018-03-23,False,,True,True,True,34.3,255.1
CHI,2018-03-24,False,,False,False,False,592.4,81.0
CHI,2018-03-25,False,,False,True,True,245.8,336.5
CHI,2018-03-26,False,,False,False,False,540.1,114.2
CHI,2018-03-27,False,,False,False,False,817.7,264.6
CHI,2018-03-28,False,,False,False,False,979.9,240.2
CHI,2018-03-29,False,,False,False,False,811.8,255.1
CHI,2018-03-30,False,,False,False,False,627.1,262.9
CHI,2018-03-31,False,,False,False,False,691.5,167.5
CHI,2018-04-01,False,,False,True,True,277.3,285.0
CHI,2018-04-02,False,,False,False,False,820.0,153.6
CHI,2018-04-03,False,,False,False,False,862.2,134.1
CHI,2018-04-04,False,,False,True,True,287.7,250.5
CHI,2018-04-05,False,,False,False,True,406.4,185.5
CHI,2018-04-06,False,,False,False,False,877.7,165.8
CHI,2018-04-07,False,,True,True,True,2.7,227.0
CHI,2018-04-08,False,,False,False,False,818.1,252.1
CHI,2018-04-09,False,,False,False,False,537.2,169.3
CHI,2018-04-10,False,,False,False,True,340.9,203.7
CHI,2018-04-11,False,,False,True,True,295.6,147.6
