city,date,smoke_overhead,smoke_density,within_100km,within_300km,within_500km,nearest_km,nearest_bearing
NYC,2018-01-01,False,,False,False,False,1769.4,259.5
NYC,2018-01-02,False,,False,False,False,996.4,217.6
NYC,2018-01-03,False,,False,False,False,1058.4,229.3
NYC,2018-01-04,False,,False,False,False,703.8,213.5
NYC,2018-01-05,False,,False,False,False,855.7,219.5
NYC,2018-01-06,False,,False,False,False,773.1,211.4
NYC,2018-01-07,False,,False,False,False,1161.7,232.5
NYC,2018-01-08,False,,False,False,False,1757.0,262.6
NYC,2018-01-09,False,,False,False,False,1371.0,220.9
NYC,2018-01-10,False,,False,True,True,237.2,282.6
NYC,2018-01-11,False,,False,False,False,1531.4,203.6
NYC,2018-01-12,False,,False,False,False,1576.8,200.3
NYC,2018-01-13,False,,False,False,False,1793.6,249.9
NYC,2018-01-14,False,,False,False,False,991.4,214.8
NYC,2018-01-15,False,,False,False,True,396.9,238.8
NYC,2018-01-16,False,,False,False,False,1038.2,220.3
NYC,2018-01-17,False,,False,False,False,1213.1,217.0
NYC,2018-01-18,False,,False,False,False,816.8,206.0
NYC,2018-01-19,False,,False,False,False,882.2,213.3
NYC,2018-01-20,False,,False,False,False,737.2,205.0
NYC,2018-01-21,False,,False,False,False,720.2,217.1
NYC,2018-01-22,False,,False,False,False,1561.0,203.3
NYC,2018-01-23,False,,False,False,False,1055.9,214.3
NYC,2018-01-24,False,,False,False,False,740.3,204.3
NYC,2018-01-25,False,,False,False,False,653.1,221.5
NYC,2018-01-26,False,,False,False,True,377.8,234.2
NYC,2018-01-27,False,,False,False,False,1498.1,263.5
NYC,2018-01-28,False,,False,False,False,1634.0,199.7
NYC,2018-01-29,False,,False,False,False,1544.9,235.8
NYC,2018-01-30,False,,False,False,True,468.1,229.2
NYC,2018-01-31,False,,False,False,False,715.0,218.0
NYC,2018-02-01,False,,False,False,False,783.4,206.4
NYC,2018-02-02,False,,False,False,False,789.4,216.3
NYC,2018-02-03,False,,False,False,False,895.8,211.3
NYC,2018-02-04,False,,False,False,False,1532.8,270.4
NYC,2018-02-05,False,,False,False,False,999.8,222.1
NYC,2018-02-06,False,,False,False,False,811.6,205.5
NYC,2018-02-07,False,,False,False,False,1395.0,207.8
NYC,2018-02-08,False,,False,False,False,1391.2,257.9
NYC,2018-02-09,False,,False,False,False,670.4,209.6
NYC,2018-02-10,False,,False,False,False,1320.2,209.2
NYC,2018-02-11,False,,False,False,False,1355.6,208.4
NYC,2018-02-12,False,,False,False,False,1569.7,201.7
NYC,2018-02-13,False,,False,False,False,1617.6,199.8
NYC,2018-02-14,False,,False,False,False,1078.3,213.9
NYC,2018-02-15,False,,False,False,False,908.1,216.9
NYC,2018-02-16,False,,False,False,False,734.6,209.6
NYC,2018-02-17,False,,False,False,False,1137.6,213.1
NYC,2018-02-18,False,,False,False,False,810.6,213.3
NYC,2018-02-19,False,,False,False,False,1006.9,221.8
NYC,2018-02-20,False,,False,False,False,1459.5,204.1
NYC,2018-02-21,False,,False,False,False,1248.8,210.8
NYC,2018-02-22,False,,False,False,False,532.2,192.0
NYC,2018-02-23,False,,False,False,False,872.0,208.8
NYC,2018-02-24,False,,False,False,True,489.0,195.0
NYC,2018-02-25,False,,False,False,False,639.1,198.9
NYC,2018-02-26,False,,False,False,False,719.3,233.4
NYC,2018-02-27,False,,False,False,True,307.6,212.9
NYC,2018-02-28,False,,True,True,True,71.9,202.7
NYC,2018-03-01,False,,False,False,False,1148.5,195.3
NYC,2018-03-02,False,,False,False,False,518.2,227.3
NYC,2018-03-03,False,,False,False,False,750.2,214.6
NYC,2018-03-04,False,,False,False,True,306.8,211.5
NYC,2018-03-05,False,,False,False,True,308.8,212.3
NYC,2018-03-06,False,,False,False,False,1002.5,248.7
NYC,2018-03-07,False,,False,False,False,950.3,206.8
NYC,2018-03-08,False,,False,False,False,966.7,214.3
NYC,2018-03-09,False,,False,False,True,354.2,219.0
NYC,2018-03-10,False,,False,False,True,308.2,229.4
NYC,2018-03-11,False,,True,True,True,67.8,180.6
NYC,2018-03-12,False,,False,False,False,1355.0,268.4
NYC,2018-03-13,False,,False,False,False,791.0,201.0
NYC,2018-03-14,False,,False,False,False,732.5,212.0
NYC,2018-03-15,False,,False,False,False,543.5,193.1
NYC,2018-03-16,False,,False,False,True,463.5,218.9
NYC,2018-03-17,False,,False,True,True,102.1,168.6
NYC,2018-03-18,False,,True,True,True,63.5,188.8
NYC,2018-03-19,False,,True,True,True,88.1,195.3
NYC,2018-03-20,False,,False,False,False,1568.4,200.0
NYC,2018-03-21,False,,False,False,False,1071.6,267.9
NYC,2018-03-22,False,,False,False,False,850.4,215.4
NYC,2018-03-23,False,,False,False,False,718.2,198.8
NYC,2018-03-24,False,,False,False,True,357.2,277.4
NYC,2018-03-25,False,,False,False,False,1167.6,190.8
NYC,2018-03-26,False,,False,True,True,134.8,276.0
NYC,2018-03-27,False,,False,False,True,472.4,206.6
NYC,2018-03-28,False,,False,False,False,765.5,199.4
NYC,2018-03-29,False,,False,False,True,359.7,223.3
NYC,2018-03-30,False,,False,False,False,1471.4,203.6
NYC,2018-03-31,False,,True,True,True,54.2,218.5
NYC,2018-04-01,False,,False,False,False,769.8,218.5
NYC,2018-04-02,False,,False,False,False,569.9,202.1
NYC,2018-04-03,False,,False,False,True,384.1,214.4
NYC,2018-04-04,False,,False,False,True,396.1,219.0
NYC,2018-04-05,False,,False,False,True,319.8,197.6
NYC,2018-04-06,False,,False,False,True,333.6,232.5
NYC,2018-04-07,False,,False,False,False,1046.8,274.0
NYC,2018-04-08,False,,False,False,False,1630.4,199.8
NYC,2018-04-09,False,,False,True,True,199.6,40.4
NYC,2018-04-10,False,,False,False,True,371.0,215.0
NYC,2018-04-11,False,,False,False,True,385.4,222.6
NYC,2018-04-12,False,,False,False,True,342.2,224.4
NYC,2018-04-13,False,,False,True,True,299.4,234.5
NYC,2018-04-14,False,,True,True,True,53.8,196.2
NYC,2018-04-15,False,,False,False,False,1202.6,258.2
NYC,2018-04-16,False,,False,False,False,1250.8,209.9
NYC,2018-04-17,False,,False,False,False,744.5,213.5
NYC,2018-04-18,False,,False,True,True,182.9,217.3
NYC,2018-04-19,False,,False,False,False,743.9,215.0
NYC,2018-04-20,False,,False,True,True,296.7,204.0
NYC,2018-04-21,False,,False,True,True,265.0,306.8
NYC,2018-04-22,False,,True,True,True,55.0,202.8
NYC,2018-04-23,False,,True,True,True,67.7,206.8
NYC,2018-04-24,False,,False,False,False,830.6,50.1
NYC,2018-04-25,False,,False,False,False,991.4,277.5
NYC,2018-04-26,False,,False,False,False,837.6,283.5
NYC,2018-04-27,False,,False,False,False,1216.6,256.2
NYC,2018-04-28,False,,False,False,False,872.7,293.4
NYC,2018-04-29,False,,False,False,False,577.8,232.0
NYC,2018-04-30,False,,False,False,False,520.7,334.0
NYC,2018-05-01,False,,False,True,True,242.6,249.3
NYC,2018-05-02,False,,False,True,True,196.7,204.2
NYC,2018-05-03,False,,False,False,False,574.1,234.6
NYC,2018-05-04,False,,False,False,True,457.8,232.2
NYC,2018-05-05,False,,False,False,False,897.7,290.3
NYC,2018-05-06,False,,False,False,False,949.8,208.1
NYC,2018-05-07,False,,False,False,False,554.4,342.7
NYC,2018-05-08,False,,False,True,True,153.8,291.3
NYC,2018-05-09,False,,False,True,True,214.9,3.4
NYC,2018-05-10,False,,False,False,False,746.7,214.7
NYC,2018-05-11,False,,False,False,False,951.6,220.2
NYC,2018-05-12,False,,False,False,False,1361.6,233.1
NYC,2018-05-13,False,,False,False,False,1187.1,302.1
NYC,2018-05-14,False,,False,True,True,201.5,2.7
NYC,2018-05-15,False,,False,False,False,1116.7,250.2
NYC,2018-05-16,False,,False,False,False,1031.3,287.0
NYC,2018-05-17,False,,False,False,False,1818.5,289.2
NYC,2018-05-18,False,,False,False,False,654.3,10.2
NYC,2018-05-19,False,,False,False,False,1151.9,233.6
NYC,2018-05-20,False,,False,False,False,1317.8,290.9
NYC,2018-05-21,False,,False,False,False,1538.5,313.2
NYC,2018-05-22,False,,False,False,False,725.7,215.1
NYC,2018-05-23,True,light,True,True,True,0.0,0.0
NYC,2018-05-24,True,light,True,True,True,0.0,0.0
NYC,2018-05-25,True,medium,True,True,True,0.0,0.0
NYC,2018-05-26,False,,False,False,False,622.9,30.3
NYC,2018-05-27,False,,False,False,False,552.3,60.5
NYC,2018-05-28,False,,False,False,False,552.5,358.8
NYC,2018-05-29,False,,False,False,False,886.6,324.8
NYC,2018-05-30,False,,False,False,False,1400.0,252.2
NYC,2018-05-31,False,,False,False,False,854.5,49.0
NYC,2018-06-01,False,,False,False,False,1549.9,265.6
NYC,2018-06-02,False,,False,False,False,742.4,206.6
NYC,2018-06-03,False,,False,False,False,791.2,10.8
NYC,2018-06-04,False,,False,False,False,712.4,210.2
NYC,2018-06-05,False,,False,False,False,744.1,213.6
