city,provider,locationid,name,lat,lng,parameters,n_days,first_day,last_day
CHI,AirGradient,1370216,"West Albany Park, Chicago",41.962434,-87.737472,"pm10,pm25",779,20231125.csv,20260513.csv
CHI,AirGradient,3027117,Portage Park - Chicago,41.9480557275771,-87.74637848791646,"pm10,pm25",598,20240821.csv,20260514.csv
CHI,AirGradient,4609260,Avalon Park,41.7441079,-87.5939035,pm25,342,20250603.csv,20260514.csv
CHI,AirGradient,4645153,South Loop,41.865,-87.622,pm25,223,20250802.csv,20260514.csv
CHI,AirGradient,4845127,South Loop,41.860021,-87.627106,pm25,239,20250918.csv,20260514.csv
CHI,AirGradient,4850454,"Prairie District, South Loop, Chicago",41.856673681300066,-87.62005213101195,pm25,212,20250918.csv,20260514.csv
CHI,AirGradient,4892079,Jeff Park,41.9678,-87.774,pm25,307,20250628.csv,20260514.csv
CHI,AirGradient,4903652,Wells & Ontario Bus Station,41.893333,-87.634176,pm25,302,20250630.csv,20260514.csv
CHI,AirGradient,5156237,"Lakeview, Chicago",41.9392878,-87.6520167,pm25,238,20250918.csv,20260514.csv
CHI,AirGradient,5866154,"Wicker Park, Chicago",41.909961038796716,-87.67767573843658,pm25,216,20250921.csv,20260514.csv
CHI,AirGradient,5867973,Chicago-Logan Square,41.92111541175888,-87.70193708823098,pm25,222,20250921.csv,20260514.csv
CHI,AirGradient,6176754,Andersonville,41.97887,-87.672734,pm25,142,20251224.csv,20260514.csv
CHI,AirGradient,6181924,Milwaukee/Division/Paulina,41.903482,-87.669641,pm25,134,20251229.csv,20260514.csv
CHI,AirGradient,6201588,Avondale,41.9379,-87.6978,pm25,112,20260114.csv,20260507.csv
CHI,AirGradient,6258096,Kappa,41.7144847,-87.5919587,pm25,74,20260302.csv,20260514.csv
CHI,AirGradient,6320515,LUC Loyola Hall,42.001934201261854,-87.65912121346129,pm25,21,20260424.csv,20260514.csv
CHI,AirGradient,6320516,LUC Loyola Hall,42.001934201261854,-87.65912121346129,pm25,21,20260424.csv,20260514.csv
CHI,AirGradient,6320517,LUC Loyola Hall,42.001934201261854,-87.65912121346129,pm25,21,20260424.csv,20260514.csv
CHI,AirGradient,6320518,LUC Loyola Hall,42.001934201261854,-87.65912121346129,pm25,21,20260424.csv,20260514.csv
CHI,AirGradient,6320519,LUC Loyola Hall,42.001934201261854,-87.65912121346129,pm25,21,20260424.csv,20260514.csv
CHI,AirGradient,6320520,LUC Loyola Hall,42.001934201261854,-87.65912121346129,pm25,21,20260424.csv,20260514.csv
CHI,AirGradient,6320521,LUC Loyola Hall,42.001934201261854,-87.65912121346129,pm25,21,20260424.csv,20260514.csv
CHI,AirGradient,6320522,LUC Loyola Hall,42.001934201261854,-87.65912121346129,pm25,21,20260424.csv,20260514.csv
CHI,AirNow,424,CHI_COM,41.7547,-87.7136,"o3,pm25",2526,20180101.csv,20260514.csv
CHI,AirNow,1153,ALSIP,41.6708,-87.7325,"o3,pm25",2601,20180101.csv,20260514.csv
CHI,AirNow,1657,CHI_SP,41.9136,-87.7239,pm25,1652,20200917.csv,20260514.csv
CHI,AirNow,1658,CHI_SWFP,41.755798,-87.545303,o3,1867,20180301.csv,20260514.csv
CHI,AirNow,1660,CICERO,41.855301,-87.752502,o3,1902,20180101.csv,20260514.csv
CHI,AirNow,1856,Cicero Liberty,41.864329,-87.748826,pm25,2755,20180101.csv,20260514.csv
CHI,AirNow,2085,SCHILPRK,41.965,-87.8761,"o3,pm25",2311,20180101.csv,20260514.csv
CHI,AirNow,8468,CHI_TAFT,41.984402,-87.791901,o3,1694,20180308.csv,20260514.csv
CHI,AirNow,2047319,McCook,41.80117,-87.83194,"pm10,pm25",862,20240102.csv,20260514.csv
CHI,AirNow,3301366,CHI_MAYFAIR,41.96548,-87.74992,pm25,522,20241204.csv,20260514.csv
CHI,AirNow,3368525,CHI_WASH,41.6878,-87.5389,"pm10,pm25",483,20250114.csv,20260514.csv
CHI,AirNow,4139029,Summit,41.78276,-87.80537,pm25,64,20260312.csv,20260514.csv
NYC,AirGradient,2386747,"Carteret, NJ",40.585,-74.238,"pm10,pm25",800,20240205.csv,20260514.csv
NYC,AirGradient,2616564,7th Ave and W 16th St,40.740022,-73.998504,"pm10,pm25",582,20240318.csv,20260514.csv
NYC,AirGradient,2903996,Win Son,40.708,-73.944,"pm10,pm25",633,20240618.csv,20260514.csv
NYC,AirGradient,3041962,Near Bay 50 St,40.5887458,-73.9838231,"pm10,pm25",583,20240831.csv,20260514.csv
NYC,AirGradient,3103622,"Montclair, NJ",40.8476775,-74.2065738,"pm10,pm25",540,20241008.csv,20260514.csv
NYC,AirGradient,3305066,Downtown Montclair,40.81405,-74.21782,"pm10,pm25",411,20241207.csv,20260504.csv
NYC,AirGradient,3400913,DropHome,40.776416,-73.981338,pm25,452,20250211.csv,20260514.csv
NYC,AirGradient,3406357,"Bayside, NY 11361",40.76433675598798,-73.76633802306293,pm25,453,20250216.csv,20260514.csv
NYC,AirGradient,4727343,E Houston St between Clinton St & Attorney St,40.72113218678927,-73.98342130198078,pm25,267,20250613.csv,20260514.csv
NYC,AirGradient,4811604,"Caton Ave and Ocean Pkwy, Brooklyn",40.64751134801405,-73.9740272541179,pm25,239,20250918.csv,20260514.csv
